task,context,task_id,env,complexity,original_filename
"Написать функцию СформироватьОтчетЗадолженностьКонтрагентов(ДатаНачала, ДатаОкончания, Валюта) которая формирует отчет на сервере ""ОтчетПоВзаиморасчетам""  на заданный период с отбором по Валюте и по СуммаКонечныйОстаток, где СуммаКонечныйОстаток < 0. 
Функция должна программно сформировать отчет ""ОтчетПоВзаиморасчетам"", вариант отчета ""Основной"". 
Настройки отчета:
	Параметры отчета: Период. 
	    Значения парамета: Период.ДатаНачала = ДатаНачала, Период.ДатаОкончания = ДатаОкончания. 
	Структура отчета: Таблица
	                     *cтроки: Контргант.    
	                     *столбцы: Валюта.
	Выбранные поля: СуммаКонечныйОстаток, Контрагент.
	Отбор: СуммаКонечныйОстаток < 0, Валюта = Валюта.
	Параметры вывода: ВыводитьПараметрыДанных = Не выводить,
	                  ВыводитьОтбор = Не выводить. 
	УсловноеОформление: 
	                 Оформление - Формат = ""ЧЦ=10; ЧДЦ=2; ЧО=1"".  
	                 Оформляемые поля - СуммаКонечныйОстаток
Параметры функции:  
ДатаНачала (тип: Дата) - начало периода.
ДатаОкончания (тип: Дата) - окончание периода.
Валюта (тип: СправочникСсылка.Валюты) - валюта.

Возвращаемое значение: ТабличныйДокумент.","{""Catalogs"": [{""id"": ""Валюты"", ""name"": ""Валюты"", ""Attributes"": [{""id"": ""НаименованиеОсновнойВалюты"", ""name"": ""Наименование основной валюты"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""НаименованиеРазменнойВалюты"", ""name"": ""Наименование разменной валюты"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}]}]}",task_035,server,high,task3_сложн_Куликова_v1.epf
"Написать функцию ПолучитьТаблицуНепрочитанныхПисемКонтрагентов(мКонтрагенты), которая формирует таблицу непрочитанных писем от контрагентов за предыдущий месяц.
Предыдущий месяц - это календарный месяц, предшествующий текущей дате. 
 
Таблица должна содержать колонки:
Письмо (тип: СправочникСсылка.ВходящиеПисьма) - письмо.
Тема (тип: Строка) - тема письма.
Контрагента (тип: СправочникСсылка.Контрагенты) - дата письма.
Дата (тип: Дата) - дата письма.

Параметры функции: 
мКонтрагенты (тип: Массив из СправочникСсылка.Контрагенты) - контрагенты для отбора писем.

Данные о состоянии письма берутся из регистра сведений ""СостояниеВходящихПисем"". Данные электронной почты контрагента хранятся в справочнике ""Контрагенты"".","{""InformationRegisters"": [{""id"": ""СостояниеВходящихПисем"", ""name"": ""Состояние входящих писем"", ""InformationRegisterPeriodicity"": ""Nonperiodical"", ""WriteMode"": ""Independent"", ""Dimensions"": [{""id"": ""Письмо"", ""name"": ""Письмо"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВходящиеПисьма""}]}], ""Resources"": [{""id"": ""Прочитано"", ""name"": ""Прочитано"", ""types"": []}]}], ""Catalogs"": [{""id"": ""ВходящиеПисьма"", ""name"": ""Входящие письма"", ""Attributes"": [{""id"": ""Дата"", ""name"": ""Дата"", ""types"": [{""type"": ""Date""}]}, {""id"": ""Отправитель"", ""name"": ""Отправитель"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Текст"", ""name"": ""Текст"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""ВидСодержимого"", ""name"": ""Вид содержимого"", ""types"": []}, {""id"": ""Идентификатор"", ""name"": ""Идентификатор"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""ПочтовыйЯщик"", ""name"": ""Почтовый ящик"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""64""}]}]}, {""id"": ""Контрагенты"", ""name"": ""Контрагенты"", ""Attributes"": [{""id"": ""Регион"", ""name"": ""Регион"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Регионы""}]}, {""id"": ""Индекс"", ""name"": ""Индекс"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""10""}]}, {""id"": ""Страна"", ""name"": ""Страна"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Город"", ""name"": ""Город"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Улица"", ""name"": ""Улица"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Дом"", ""name"": ""Дом"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""15""}]}, {""id"": ""Телефон"", ""name"": ""Телефон"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""16""}]}, {""id"": ""ЭлектроннаяПочта"", ""name"": ""Электронная почта"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""40""}]}, {""id"": ""Факс"", ""name"": ""Факс"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""16""}]}, {""id"": ""ВебСайт"", ""name"": ""Веб сайт"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""40""}]}, {""id"": ""ВидЦен"", ""name"": ""Вид цен"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВидыЦен""}]}, {""id"": ""ДополнительнаяИнформация"", ""name"": ""Дополнительная информация"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""КонтактноеЛицо"", ""name"": ""Контактное лицо"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""100""}]}, {""id"": ""Широта"", ""name"": ""Широта"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.6""}]}, {""id"": ""Долгота"", ""name"": ""Долгота"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.6""}]}]}]}",task_036,server,,task4_Куликова_ v1.epf
"Написать функцию ВыгрузитьЗаказыВXMLФайл(),     
которая формирует выгрузку заказов в работе в файл формата XML.
Выгрузка должна включать только проведенные документы «Заказ».
Данные выбираются из документа Заказ с отбором по следующим условиям:
признак Проведен = Истина;
состояние заказа равно значению перечисления СостоянияЗаказов.ВРаботе.
Результат формирования должен представлять XML-файл, сохранённый во временный каталог, путь к которому возвращается функцией.
Структура формирования XML выполняется следующим образом:
Создаётся временный XML-файл в кодировке UTF-8.
В файл записывается объявление XML.
Формируется корневой элемент «Заказ» с атрибутом Имя = ""ЗаказТовары"".
Для каждой записи выборки из документа Заказ формируется элемент «Запись», содержащий детальные сведения о заказе.
После завершения записи всех элементов XML-документ корректно закрывается и сохраняется в файл.
Источник данных:
Документ.Заказ (реквизиты: Номер, Дата, Покупатель, Склад, Валюта, ВидЦен, Организация, СостояниеЗаказа);
дополнительные представления ссылочных реквизитов (Покупатель, Склад, Организация) используются для формирования читаемого текста.","{""Documents"": [{""id"": ""Заказ"", ""name"": ""Заказ"", ""Attributes"": [{""id"": ""Покупатель"", ""name"": ""Покупатель"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""Склад"", ""name"": ""Склад"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Склады""}]}, {""id"": ""Валюта"", ""name"": ""Валюта взаиморасчетов"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Валюты""}]}, {""id"": ""ВидЦен"", ""name"": ""Вид цен"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВидыЦен""}]}, {""id"": ""Организация"", ""name"": ""Организация"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Организации""}]}, {""id"": ""СостояниеЗаказа"", ""name"": ""Состояние заказа"", ""types"": [{""type"": ""Ref"", ""id"": ""Перечисление.СостоянияЗаказов""}]}, {""id"": ""Автор"", ""name"": ""Автор"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Пользователи""}]}, {""id"": ""Сумма"", ""name"": ""Сумма"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}], ""TabularSections"": [{""id"": ""Товары"", ""name"": ""Товары"", ""Attributes"": [{""id"": ""Товар"", ""name"": ""Товар"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Товары""}]}, {""id"": ""Цена"", ""name"": ""Цена"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}, {""id"": ""Количество"", ""name"": ""Количество"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.0""}]}, {""id"": ""Сумма"", ""name"": ""Сумма"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}]}]}",task_037,server,mid,task4_СредняяВыгрузкаЗаказовВФайлXML_v2.epf
"Создай функцию РазложитьСтрокуВМассивПодстрок(Знач Стр, Разделитель = "",""), которая ""расщепляет"" строку на подстроки, используя заданный разделитель (параметр №2). 
Разделитель может иметь любую длину. Если в качестве разделителя задан пробел, рядом стоящие пробелы считаются одним разделителем, а ведущие и хвостовые пробелы параметра Стр игнорируются.
     Например,
      РазложитьСтрокуВМассивПодстрок("",один,,,два"", "","") возвратит массив значений из пяти элементов,
      три из которых - пустые строки, а
      РазложитьСтрокуВМассивПодстрок("" один   два"", "" "") возвратит массив значений из двух элементов
В качестве первого параметра передается строка, которую необходимо разложить, строка передается по значению, 
в качестве второго параметра ""Разделитель"" используется   строка-разделитель, по умолчанию - запятая.
Возвращает  массив значений, элементы которого - подстроки",{},task_038,server,,task_1_amir_v4.epf
"Создай функцию ЗарегистрированныеКОбменуБитыеСсылки(Узел, ТипМетаданных), которая вернет таблицу значений с колонками ""МетаИмя"" - Полное имя метаданных,""УИД"" - уникальный идентификатор ссылки и ТипМетаданных - тип значения ссылки,
 где параметр ТипМетаданных является не обязательным и может быть не указан, тогда отбор выполняется по всем ссылочным метаданным из состава плана обмена

Параметры:
 Узел     - ПланОбменаСсылка - узел плана обмена, по которому выполняется поиск
 ТипМетаданных - ОбъектМетаданных - метаданные из состава плана обмена. Значение по умолчанию Неопределено

Возвращает таблицу значений с колонками МетаИмя, ТипМетаданных, УИД содержащей значения из зарегистрированных объектов на узле плана обмена
Результатом решения является проверка на количество элементов в таблице значений",{},task_039,server,,task_3_amir.epf
"Создай клиентскую функцию НайтиАдресПоКоординатам(Широта, Долгота, APIКлюч), которая вернет строковое пресдтавление адреса при HTTP запросе к серверу geocode-maps.yandex.ru

Параметры:
 Широта - координата X      
 Долгота - координата Y 
 APIКлюч - ключ api яндекс гео 
 
Возвращает строковое представление адреса по координатам",{},task_040,server,,task_4_amir.epf
"Написать функцию ПроверкаЛимитаЗадолженности(Заказ, ЛимитВРублях), которая проверяет
превышение лимита дебиторской задолженности контрагента перед проведением заказа.
Учесть, что взаиморасчеты с контрагентами могут быть указаны в разных валюта.
Учесть, что заказ может быть в разных валютах.
Привести все расчеты к валюте Рубли (RUB).

Параметры:
- Заказ: Структура с полями:
    * Контрагент (СправочникСсылка.Контрагенты)
    * Валюта (СправочникСсылка.Валюты) — валюта суммы заказа
    * Дата (Дата)
    * Сумма (Число) — сумма заказа в валюте Заказ.Валюта
- ЛимитВРублях: Число — лимит в валюте RUB

Функция должна возвращать структуру, где:

Ключ СуммаДебиторскойЗадолженности, Значение - Сумма
Ключ СуммаДебиторскойЗадолженностиСЗаказом, Значение - Сумма
Ключ СуммаЗаказаВРублях, Значение - Сумма
Ключ ЛимитНеПревышен, Значение - Булево
Ключ СообщениеПользователю, Значение - Строка

Требования:
- Использовать запрос к виртуальной таблице Остатки регистра накопления Взаиморасчеты
- Использовать запрос к СрезПоследних регистра сведений КурсыВалют.","{""Documents"": [{""id"": ""Заказ"", ""name"": ""Заказ"", ""Attributes"": [{""id"": ""Покупатель"", ""name"": ""Покупатель"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""Склад"", ""name"": ""Склад"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Склады""}]}, {""id"": ""Валюта"", ""name"": ""Валюта взаиморасчетов"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Валюты""}]}, {""id"": ""ВидЦен"", ""name"": ""Вид цен"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВидыЦен""}]}, {""id"": ""Организация"", ""name"": ""Организация"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Организации""}]}, {""id"": ""СостояниеЗаказа"", ""name"": ""Состояние заказа"", ""types"": [{""type"": ""Ref"", ""id"": ""Перечисление.СостоянияЗаказов""}]}, {""id"": ""Автор"", ""name"": ""Автор"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Пользователи""}]}, {""id"": ""Сумма"", ""name"": ""Сумма"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}], ""TabularSections"": [{""id"": ""Товары"", ""name"": ""Товары"", ""Attributes"": [{""id"": ""Товар"", ""name"": ""Товар"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Товары""}]}, {""id"": ""Цена"", ""name"": ""Цена"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}, {""id"": ""Количество"", ""name"": ""Количество"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.0""}]}, {""id"": ""Сумма"", ""name"": ""Сумма"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}]}], ""AccumulationRegisters"": [{""id"": ""Взаиморасчеты"", ""name"": ""Взаиморасчеты"", ""RegisterType"": ""Balance"", ""Dimensions"": [{""id"": ""Контрагент"", ""name"": ""Контрагент"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""Валюта"", ""name"": ""Валюта"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Валюты""}]}], ""Resources"": [{""id"": ""Сумма"", ""name"": ""Сумма"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}], ""InformationRegisters"": [{""id"": ""КурсыВалют"", ""name"": ""Курсы валют"", ""InformationRegisterPeriodicity"": ""Day"", ""WriteMode"": ""Independent"", ""Dimensions"": [{""id"": ""Валюта"", ""name"": ""Валюта"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Валюты""}]}], ""Resources"": [{""id"": ""Курс"", ""name"": ""Курс"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}], ""Catalogs"": [{""id"": ""Валюты"", ""name"": ""Валюты"", ""Attributes"": [{""id"": ""НаименованиеОсновнойВалюты"", ""name"": ""Наименование основной валюты"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""НаименованиеРазменнойВалюты"", ""name"": ""Наименование разменной валюты"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}]}, {""id"": ""Контрагенты"", ""name"": ""Контрагенты"", ""Attributes"": [{""id"": ""Регион"", ""name"": ""Регион"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Регионы""}]}, {""id"": ""Индекс"", ""name"": ""Индекс"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""10""}]}, {""id"": ""Страна"", ""name"": ""Страна"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Город"", ""name"": ""Город"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Улица"", ""name"": ""Улица"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Дом"", ""name"": ""Дом"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""15""}]}, {""id"": ""Телефон"", ""name"": ""Телефон"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""16""}]}, {""id"": ""ЭлектроннаяПочта"", ""name"": ""Электронная почта"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""40""}]}, {""id"": ""Факс"", ""name"": ""Факс"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""16""}]}, {""id"": ""ВебСайт"", ""name"": ""Веб сайт"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""40""}]}, {""id"": ""ВидЦен"", ""name"": ""Вид цен"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВидыЦен""}]}, {""id"": ""ДополнительнаяИнформация"", ""name"": ""Дополнительная информация"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""КонтактноеЛицо"", ""name"": ""Контактное лицо"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""100""}]}, {""id"": ""Широта"", ""name"": ""Широта"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.6""}]}, {""id"": ""Долгота"", ""name"": ""Долгота"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.6""}]}]}]}",task_041,server,high,Коробов_Сложная_задача.epf
"Написать функцию ПолучитьОстаткиПоНоменклатуреПоВсемСкладам(ТаблицаТовары). Функция принимает ТаблицуЗначений.
Таблица значений содержит информацию по остаткам номенклатуры со следующими колонками:

- Номенклатура (Строка)
- Склад (Строка)
- Количество (Число)
- Сумма (Число)

Таблица может содержать несколько строк с одинаковой Номенклатурой по разным складам. 
Необходимо вернуть новую ТаблицуЗначений с тремя колонками:
- Номенклатура (Строка)
- Количество (Число)
- Сумма (Число)

Для каждой Номенклатуры должна остаться одна строка, а Количество и Сумма должны быть суммой по всем исходным строкам.

Требования:
- Использовать язык запросов.
- Не изменять входную ТаблицуЗначений.
- В возвращаемой таблице строки должны быть отсортированы по Номенклатуре по возрастанию.","{""AccumulationRegisters"": [{""id"": ""ТоварныеЗапасы"", ""name"": ""Товарные запасы"", ""RegisterType"": ""Balance"", ""Dimensions"": [{""id"": ""Товар"", ""name"": ""Товар"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Товары""}]}, {""id"": ""Склад"", ""name"": ""Склад"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Склады""}]}], ""Resources"": [{""id"": ""Количество"", ""name"": ""Количество"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}], ""Catalogs"": [{""id"": ""Склады"", ""name"": ""Склады"", ""Attributes"": [{""id"": ""НеИспользовать"", ""name"": ""Не использовать"", ""types"": [{""type"": ""Boolean""}]}]}, {""id"": ""Товары"", ""name"": ""Товары"", ""Attributes"": [{""id"": ""Артикул"", ""name"": ""Артикул"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""15""}]}, {""id"": ""Поставщик"", ""name"": ""Поставщик"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""ФайлКартинки"", ""name"": ""Картинка"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ХранимыеФайлы""}]}, {""id"": ""Вид"", ""name"": ""Вид"", ""types"": []}, {""id"": ""Штрихкод"", ""name"": ""Штрихкод"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""20""}]}, {""id"": ""Описание"", ""name"": ""Описание"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}]}]}",task_042,server,mid,Коробов_Средняя_задача_V2.epf
"Написать функцию ПолучитьТаблицуАнализаПродаж(НачалоПериода, ОкончаниеПериода, НормаПродаж), которая формирует таблицу, анализирующую продажи товара за указанный период.
Таблица должна содержать колонки:
Товар (тип: СправочникСсылка.Товары) - проданный товар.
КоличествоДнейМин (тип: Число) - количество дней за период, когда товар не продавался(продажи = 0).
КоличествоДнейМакс - (тип: Число) - количество дней за период, когда продажи товара были максимальными.
КоличествоДнейНорма - (тип: Число) - количество дней за период, когда продажи товара превышали норму. 
СуммаВсего - (тип: Число) - сумма продаж за период.
ОстатокНаКонецПериода - (тип: Число) - остаток товара на конец периода.

Параметры функции: 
НачалоПериода (тип: Дата) - начало периода.
ОкончаниеПериода (тип: Дата) - окончание периода.
НормаПродаж (тип: Число) - норма, с которой сверяются продажи товара.

Данные продаж товаров берутся из регистра накопления ""Продажи"". Данные остатков по товарам берутся из регистра накопления ""ТоварныеЗапасы"".","{""AccumulationRegisters"": [{""id"": ""Продажи"", ""name"": ""Продажи"", ""RegisterType"": ""Turnovers"", ""Dimensions"": [{""id"": ""Покупатель"", ""name"": ""Покупатель"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""Товар"", ""name"": ""Товар"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Товары""}]}], ""Resources"": [{""id"": ""Количество"", ""name"": ""Количество"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}, {""id"": ""Сумма"", ""name"": ""Сумма"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}, {""id"": ""ТоварныеЗапасы"", ""name"": ""Товарные запасы"", ""RegisterType"": ""Balance"", ""Dimensions"": [{""id"": ""Товар"", ""name"": ""Товар"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Товары""}]}, {""id"": ""Склад"", ""name"": ""Склад"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Склады""}]}], ""Resources"": [{""id"": ""Количество"", ""name"": ""Количество"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}], ""Catalogs"": [{""id"": ""Товары"", ""name"": ""Товары"", ""Attributes"": [{""id"": ""Артикул"", ""name"": ""Артикул"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""15""}]}, {""id"": ""Поставщик"", ""name"": ""Поставщик"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""ФайлКартинки"", ""name"": ""Картинка"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ХранимыеФайлы""}]}, {""id"": ""Вид"", ""name"": ""Вид"", ""types"": []}, {""id"": ""Штрихкод"", ""name"": ""Штрихкод"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""20""}]}, {""id"": ""Описание"", ""name"": ""Описание"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}]}]}",task_043,server,high,Куликова_Сложная_задача.epf
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата, ВидЦен) которая выводит в табличный документ актуальные цены товаров на заданную дату.
 
Параметры функции:
ТабДокумент (тип: ТабличныйДокумент) - результирующий табличный документ. 
Макет - (тип: ТабличныйДокумент). Шаблон, по которому заполняется табличный документ. В макете есть области Шапка, ШапкаТаблицы и Строка. 
В области Шапка есть параметр ""НаДату"", в области Строка есть параметры ""Товар"", ""Артикул"", ""ВидЦен"", ""Цена"". 
Дата (тип: Дата) - дата, на которую нужно получить цены товаров. 
ВидЦен - (тип: СправочникСсылка.ВидыЦен) - вид используемых цен товаров. Параметр может быть не задан, тогда выводятся цены товаров с учетом различных видов цен. 

Данные цен товаров хранятся в регистре сведений ""ЦеныТоваров"".","{""InformationRegisters"": [{""id"": ""ЦеныТоваров"", ""name"": ""Цены товаров"", ""InformationRegisterPeriodicity"": ""Day"", ""WriteMode"": ""Independent"", ""Dimensions"": [{""id"": ""Товар"", ""name"": ""Товар"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Товары""}]}, {""id"": ""ВидЦен"", ""name"": ""Вид цен"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВидыЦен""}]}], ""Resources"": [{""id"": ""Цена"", ""name"": ""Цена"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.2""}]}]}], ""Catalogs"": [{""id"": ""ВидыЦен"", ""name"": ""Виды цен"", ""Attributes"": []}, {""id"": ""Товары"", ""name"": ""Товары"", ""Attributes"": [{""id"": ""Артикул"", ""name"": ""Артикул"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""15""}]}, {""id"": ""Поставщик"", ""name"": ""Поставщик"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Контрагенты""}]}, {""id"": ""ФайлКартинки"", ""name"": ""Картинка"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ХранимыеФайлы""}]}, {""id"": ""Вид"", ""name"": ""Вид"", ""types"": []}, {""id"": ""Штрихкод"", ""name"": ""Штрихкод"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""20""}]}, {""id"": ""Описание"", ""name"": ""Описание"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}]}]}",task_044,server,mid,Куликова_Средняя_задача.epf
"Написать функцию НайтиКонтрагентовПоКонтактнойИнформации(СтрокаКонтактнойИнформации), 
которая возвращает стуктуру со ссылками на найденных контрагентов вида:
	Ключ: ""КонтактнаяИнформация"",			Значение: тип Строка - переданное значение ""СтрокаКонтактнойИнформации""
	Ключ: ""Количество"",						Значение: тип Число - количество найденных соответствий
	Ключ: ""КоличествоПолныхСоответствий"",	Значение: тип Число - количество полных соответствий
	Ключ: ""Контрагенты"",					Значение: тип ТаблицаЗначений - с колонками 
		""Контрагент""				- тип СправочникСсылка.Контрагенты 
		""ТипКонтактнойИнформации""	- тип Строка, принимающая одно из значений ""Телефон"", ""Факс"", ""ЭлектроннаяПочта"", ""ВебСайт"" и равно имени поля, где найдено соответствие
		""Значение"" 					- тип Строка, найденное значение
		""ПолноеСоответствие""		- тип Булево, 
			""Истина""	- содержимое полей ""Телефон"",""Факс"" равно ""СтрокаКонтактнойИнформации"" после удаления всех символов кроме цифр в сравниваемых значениях
						или содержимое полей ""ЭлектроннаяПочта"", ""ВебСайт"" равно ""СтрокаКонтактнойИнформации"" после удаления пробелов в началах и концах строк;
			""Ложь""		- в противном случае 
		таблица значений должна быть отсортирована так, чтобы сначала выводились контрагенты, имеющие ""ПолноеСоответствие""е
Параметры функции: 
	""СтрокаКонтактнойИнформации"" - тип Строка, номер телефона, адрес e-mail или web-сайта, может быть передана только часть искомого значения (например ""5289621"", ""528-96-"", ""@techno.ru"" и т.п.)
								Если передана пустая строка, то возвращается структура со значениями ключей = ""Неопределено""
	
Данные контрагентов хранятся в справочнике ""Контрагенты""","{""Catalogs"": [{""id"": ""Контрагенты"", ""name"": ""Контрагенты"", ""Attributes"": [{""id"": ""Регион"", ""name"": ""Регион"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.Регионы""}]}, {""id"": ""Индекс"", ""name"": ""Индекс"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""10""}]}, {""id"": ""Страна"", ""name"": ""Страна"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Город"", ""name"": ""Город"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Улица"", ""name"": ""Улица"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""Дом"", ""name"": ""Дом"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""15""}]}, {""id"": ""Телефон"", ""name"": ""Телефон"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""16""}]}, {""id"": ""ЭлектроннаяПочта"", ""name"": ""Электронная почта"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""40""}]}, {""id"": ""Факс"", ""name"": ""Факс"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""16""}]}, {""id"": ""ВебСайт"", ""name"": ""Веб сайт"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""40""}]}, {""id"": ""ВидЦен"", ""name"": ""Вид цен"", ""types"": [{""type"": ""Ref"", ""id"": ""Справочник.ВидыЦен""}]}, {""id"": ""ДополнительнаяИнформация"", ""name"": ""Дополнительная информация"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""0""}]}, {""id"": ""КонтактноеЛицо"", ""name"": ""Контактное лицо"", ""types"": [{""type"": ""String"", ""StringQualifiers"": ""100""}]}, {""id"": ""Широта"", ""name"": ""Широта"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.6""}]}, {""id"": ""Долгота"", ""name"": ""Долгота"", ""types"": [{""type"": ""Number"", ""NumberQualifiers"": ""10.6""}]}]}]}",task_045,server,high,Петров_Сложная_Задача.epf
